original,translation,phonetics,format,notes
מִזְמוֹר צ״ו,SALMO 96,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
שִֽׁירוּ,Canten,shiru,,
לַיהֹוָה,a Adonai,la-Adonai,,
שִׁיר,[un] canto,shir,,
חָדָשׁ,nuevo;,jadash,,
שִֽׁירוּ,canten,shiru,,
לַיהֹוָה,"a Adonai,",la-Adonai,,
כָּל־הָאָֽרֶץ:,toda [la] tierra.,kol-haáretz:,,
שִֽׁירוּ,Canten,shiru,,
לַיהֹוָה,"a Adonai,",la-Adonai,,
בָּרְכוּ,bendigan,borjú,,
שְׁמוֹ,Su Nombre;,shemó,,
בַּשְּׂרוּ,anuncien,baserú,,
מִיּוֹם־לְיוֹם,de día en día,miom-leyom,,
יְשׁוּעָתוֹ:,Su salvación.,yeshuató:,,
סַפְּרוּ,Cuenten,saperú,,
בַגּוֹיִם,entre las naciones,vagoyim,,
כְּבוֹדוֹ,Su gloria;,kevodó,,
בְּכָל־הָעַמִּים,"entre todos los pueblos,",bejol-haamim,,
נִפְלְאוֹתָיו:,Sus maravillas.,nifleotayv:,,
כִּי,Pues,ki,,
גָדוֹל,grande,gadol,,
יְהֹוָה,[es] Adonai,Adonai,,
וּמְהֻלָּל,y alabado,umehulal,,
מְאֹד,en gran manera;,meod,,
נוֹרָא,temible,norá,,
הוּא,[es] Él,hu,,
עַל־כָּל־אֱלֹהִים:,sobre todos [los] dioses.,al-kol-elohim:,,
כִּי,Pues,ki,,
כָּל־אֱלֹהֵי,todos los dioses de,kol-elohéi,,
הָעַמִּים,de los pueblos,haamim,,
אֱלִילִים,"[son] ídolos,",elilim,,
וַיהֹוָה,pero Adonai,va-Adonai,,
שָׁמַֽיִם,[los] cielos,shamáyim,,
עָשָׂה:,hizo.,asá:,,
הוֹד־וְהָדָר,Majestad y esplendor,hod-vehadar,,
לְפָנָיו,[están] ante Él;,lefanayv,,
עֹז,fuerza,oz,,
וְתִפְאֶֽרֶת,y gloria,vetiféret,,
בְּמִקְדָּשׁוֹ:,en Su Santuario.,bemikdashó:,,
הָבוּ,Atribuyan,havú,,
לַיהֹוָה,"a Adonai,",la-Adonai,,
מִשְׁפְּחוֹת,familias de,mishpejot,,
עַמִּים,pueblos;,amim,,
הָבוּ,atribuyan,havú,,
לַיהֹוָה,a Adonai,la-Adonai,,
כָּבוֹד,gloria,kavod,,
וָעֹז:,y fuerza.,vaoz:,,
הָבוּ,Atribuyan,havú,,
לַיהֹוָה,a Adonai,la-Adonai,,
כְּבוֹד,[la] gloria de,kevod,,
שְׁמוֹ,Su Nombre;,shemó,,
שְׂאוּ־מִנְחָה,alcen [una] ofrenda,seú-minjá,,
וּבֹֽאוּ,y vengan,uvou,,
לְחַצְרוֹתָיו:,a Sus atrios.,lejatzrotayv:,,
הִשְׁתַּחֲווּ,Póstrense,hishtajavú,,
לַיהֹוָה,ante Adonai,la-Adonai,,
בְּהַדְרַת־קֹֽדֶשׁ,en [el] esplendor de [la] santidad;,behadrat-kódesh,,
חִֽילוּ,tiemblen,jilu,,
מִפָּנָיו,"ante Él,",mipanayv,,
כָּל־הָאָֽרֶץ:,toda [la] tierra.,kol-haáretz:,,
אִמְרוּ,Digan,imrú,,
בַגּוֹיִם,entre las naciones:,vagoyim,,
יְהֹוָה,«Adonai,Adonai,,
מָלָךְ,reina».,maloj,,
אַף־תִּכּוֹן,También fue establecido,af-tikón,,
תֵּבֵל,[el] mundo,tevel,,
בַּל־תִּמּוֹט,y no será movido;,bal-timot,,
יָדִין,juzgará,yadín,,
עַמִּים,[a los] pueblos,amim,,
בְּמֵישָׁרִים:,con rectitud.,bemeisharim:,,
יִשְׂמְחוּ,Se alegrarán,yismejú,,
הַשָּׁמַֽיִם,los cielos,hashamáyim,,
וְתָגֵל,y se regocijará,vetagel,,
הָאָֽרֶץ,la tierra;,haáretz,,
יִרְעַם,rugirá,yiram,,
הַיָּם,el mar,hayam,,
וּמְלֹאוֹ:,y cuanto lo llena.,umeloó:,,
יַעֲלֹז,Se regocijará,yaaloz,,
שָׂדַי,[el] campo,saday,,
וְכָל־אֲשֶׁר־בּוֹ,y todo lo que [hay] en él;,vejol-asher-bo,,
אָז,entonces,az,,
יְרַנְּנוּ,cantarán con júbilo,yeranenú,,
כָּל־עֲצֵי־יָֽעַר:,todos los árboles del bosque,kol-atzéi-yáar:,,
לִפְנֵי,ante,lifnéi,,
יְהֹוָה,"Adonai,",Adonai,,
כִּי,pues,ki,,
בָא,"viene,",va,,
כִּי,pues,ki,,
בָא,viene,va,,
לִשְׁפֹּט,a juzgar,lishpot,,
הָאָֽרֶץ,[la] tierra;,haáretz,,
יִשְׁפֹּט־תֵּבֵל,juzgará [al] mundo,yishpot-tevel,,
בְּצֶֽדֶק,"con justicia,",betzédek,,
וְעַמִּים,y [a los] pueblos,veamim,,
בֶּאֱמוּנָתוֹ:,con Su fidelidad.,beemunató:,,
