original,translation,phonetics,format,notes
מִזְמוֹר צ״ח,SALMO 98,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
מִזְמוֹר,[Un] salmo.,mizmor,,
שִֽׁירוּ,Canten,shiru,,
לַיהֹוָה,a Adonai,la-Adonai,,
שִׁיר,[un] canto,shir,,
חָדָשׁ,"nuevo,",jadash,,
כִּי־נִפְלָאוֹת,pues maravillas,ki-niflaot,,
עָשָׂה,hizo;,asá,,
הוֹשִֽׁיעָה־לּוֹ,Le dio [la] victoria,hoshio-lo,,
יְמִינוֹ,Su diestra,yeminó,,
וּזְרֽוֹעַ,y [el] brazo de,uzéroa,,
קָדְשׁוֹ:,Su santidad.,kodshó:,,
הוֹדִֽיעַ,Hizo conocer,hodia,,
יְהֹוָה,Adonai,Adonai,,
יְשׁוּעָתוֹ,Su salvación;,yeshuató,,
לְעֵינֵי,ante los ojos de,leeinéi,,
הַגּוֹיִם,las naciones,hagoyim,,
גִּלָּה,reveló,gilá,,
צִדְקָתוֹ:,Su justicia.,tzidkató:,,
זָכַר,Recordó,zajar,,
חַסְדּוֹ,Su bondad,jasdó,,
וֶאֱמוּנָתוֹ,y Su fidelidad,veemunató,,
לְבֵית,para la Casa de,leveit,,
יִשְׂרָאֵל,Israel;,yisrael,,
רָאוּ,vieron,raú,,
כָל־אַפְסֵי־אָֽרֶץ,todos los confines de la tierra,jol-afséi-áretz,,
אֵת,[la],et,,
יְשׁוּעַת,salvación de,yeshuat,,
אֱלֹהֵֽינוּ:,nuestro Dios.,eloheinu:,,
הָרִֽיעוּ,Aclamen,hariu,,
לַיהֹוָה,"a Adonai,",la-Adonai,,
כָּל־הָאָֽרֶץ,toda [la] tierra;,kol-haáretz,,
פִּצְחוּ,"irrumpan,",pitzjú,,
וְרַנְּנוּ,canten jubilosos,veranenú,,
וְזַמֵּֽרוּ:,y entonen música.,vezameru:,,
זַמְּרוּ,Entonen música,zamerú,,
לַיהֹוָה,a Adonai,la-Adonai,,
בְּכִנּוֹר,"con arpa,",bejinor,,
בְּכִנּוֹר,con arpa,bejinor,,
וְקוֹל,y voz de,vekol,,
זִמְרָה:,canto.,zimrá:,,
בַּחֲצֹצְרוֹת,Con trompetas,bajatzotzrot,,
וְקוֹל,y voz de,vekol,,
שׁוֹפָר,"shofar,",shofar,,
הָרִֽיעוּ,aclamen,hariu,,
לִפְנֵי,ante,lifnéi,,
הַמֶּֽלֶךְ,"el Rey,",hamélej,,
יְהֹוָה:,Adonai.,Adonai:,,
יִרְעַם,Rugirá,yiram,,
הַיָּם,el mar,hayam,,
וּמְלֹאוֹ,"y cuanto lo llena,",umeloó,,
תֵּבֵל,[el] mundo,tevel,,
וְיֽשְׁבֵי,y quienes habitan,véyshevei,,
בָהּ:,en él.,vah:,,
נְהָרוֹת,Ríos,neharot,,
יִמְחֲאוּ־כָף,batirán palmas;,yimjaú-jaf,,
יַֽחַד,"juntos,",yájad,,
הָרִים,montes,harim,,
יְרַנֵּֽנוּ:,cantarán jubilosos,yeranenu:,,
לִפְנֵי־יְהֹוָה,"ante Adonai,",lifnéi-Adonai,,
כִּי,pues,ki,,
בָא,viene,va,,
לִשְׁפֹּט,a juzgar,lishpot,,
הָאָֽרֶץ,[la] tierra;,haáretz,,
יִשְׁפֹּט־תֵּבֵל,juzgará [al] mundo,yishpot-tevel,,
בְּצֶֽדֶק,"con justicia,",betzédek,,
וְעַמִּים,y [a los] pueblos,veamim,,
בְּמֵישָׁרִים:,con rectitud.,bemeisharim:,,
