original,translation,phonetics,format,notes
מִזְמוֹר צ״ה,SALMO 95,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
ביום טוב שחל בשבת ובשבת חול המועד מתחילים מזמור לדוד.,"En [un] Yom Tov que cae en Shabat y en Shabat de Jol HaMoed, comienzan [con] «Salmo de David».",,intro,
לְכוּ,"Vengan,",lejú,,
נְרַנְּנָה,cantemos con júbilo,neranená,,
לַיהֹוָה,a Adonai;,la-Adonai,,
נָרִֽיעָה,aclamemos,naria,,
לְצוּר,a [la] Roca de,letzur,,
יִשְׁעֵֽנוּ:,nuestra salvación.,yishenu:,,
נְקַדְּמָה,Presentémonos ante,nekademá,,
פָנָיו,Su presencia,fanayv,,
בְּתוֹדָה,con gratitud;,betodá,,
בִּזְמִרוֹת,con cánticos,bizmirot,,
נָרִֽיעַ,aclamemos,naria,,
לוֹ:,a Él.,lo:,,
כִּי,Pues,ki,,
אֵל,[un] Dios,el,,
גָּדוֹל,grande,gadol,,
יְהֹוָה,"[es] Adonai,",Adonai,,
וּמֶֽלֶךְ,y [un] Rey,umélej,,
גָּדוֹל,grande,gadol,,
עַל־כָּל־אֱלֹהִים:,sobre todos [los] dioses.,al-kol-elohim:,,
אֲשֶׁר,que,asher,,
בְּיָדוֹ,[están] en Su mano,beyadó,,
מֶחְקְרֵי־אָֽרֶץ,"[las] profundidades de [la] tierra,",mejkeréi-áretz,,
וְתוֹעֲפוֹת,y [las] cumbres de,vetoafot,,
הָרִים,[los] montes,harim,,
לוֹ:,[son] Suyas.,lo:,,
אֲשֶׁר־לוֹ,que [es] Suyo,asher-lo,,
הַיָּם,el mar,hayam,,
וְהוּא,y Él,vehú,,
עָשָֽׂהוּ,lo hizo;,asahu,,
וְיַבֶּֽשֶׁת,"y [la] tierra seca,",veyabéshet,,
יָדָיו,Sus manos,yadayv,,
יָצָֽרוּ:,[la] formaron.,yatzaru:,,
בֹּֽאוּ,"Vengan,",bou,,
נִשְׁתַּחֲוֶה,postrémonos,nishtajavé,,
וְנִכְרָֽעָה,e inclinémonos;,venijraa,,
נִבְרְכָה,arrodillémonos,nivrejá,,
לִפְנֵי־יְהֹוָה,"ante Adonai,",lifnéi-Adonai,,
עֹשֵֽׂנוּ:,nuestro Hacedor.,osenu:,,
כִּי,Pues,ki,,
הוּא,Él,hu,,
אֱלֹהֵֽינוּ,[es] nuestro Dios,eloheinu,,
וַאֲנַֽחְנוּ,y nosotros [somos],vaanájenu,,
עַם,pueblo de,am,,
מַרְעִיתוֹ,Su pastura,maritó,,
וְצֹאן,y [el] rebaño de,vetzón,,
יָדוֹ,Su mano.,yadó,,
הַיּוֹם,"Hoy,",hayom,,
אִם־בְּקֹלוֹ,si a Su voz,im-bekoló,,
תִשְׁמָֽעוּ:,escuchan...,tishmau:,,
אַל־תַּקְשׁוּ,No endurezcan,al-takshú,,
לְבַבְכֶם,su corazón,levavjem,,
כִּמְרִיבָה,"como [en] Merivá,",kimrivá,,
כְּיוֹם,como [en el] día de,keyom,,
מַסָּה,Masá,masá,,
בַּמִּדְבָּר:,"en [el] desierto,",bamidbar:,,
אֲשֶׁר,cuando,asher,,
נִסּֽוּנִי,Me pusieron a prueba,nísuni,,
אֲבוֹתֵיכֶם,sus padres;,avoteijem,,
בְּחָנֽוּנִי,Me probaron,bejánuni,,
גַּם־רָאוּ,aunque habían visto,gam-raú,,
פָעֳלִי:,Mi obra.,faolí:,,
אַרְבָּעִים,Cuarenta,arbaim,,
שָׁנָה,años,shaná,,
אָקוּט,detesté,akut,,
בְּדוֹר,[a esa] generación,bedor,,
וָאֹמַר,y dije:,vaomar,,
עַם,«[Un] pueblo,am,,
תֹּעֵי,extraviado de,toéi,,
לֵבָב,corazón,levav,,
הֵם,"son ellos,",hem,,
וְהֵם,y ellos,vehem,,
לֹא־יָדְעוּ,no conocieron,lo-yodú,,
דְרָכָי:,Mis caminos».,derajay:,,
אֲשֶׁר־נִשְׁבַּֽעְתִּי,Por eso juré,asher-nishbáeti,,
בְאַפִּי,en Mi ira:,veapí,,
אִם־יְבֹאוּן,«¡No entrarán,im-yevoún,,
אֶל־מְנוּחָתִי:,en Mi reposo!».,el-menujatí:,,
