original,translation,phonetics,format,notes
מִזְמוֹר צ״ג,SALMO 93,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְהֹוָה,Adonai,Adonai,,
מָלָךְ,reina;,maloj,,
גֵּאוּת,majestad,geut,,
לָבֵשׁ,vistió.,lavesh,,
לָבֵשׁ,Vistió,lavesh,,
יְהֹוָה,Adonai,Adonai,,
עֹז,"fuerza,",oz,,
הִתְאַזָּר,se ciñó.,hitazar,,
אַף־תִּכּוֹן,También quedó firme,af-tikón,,
תֵּבֵל,[el] mundo;,tevel,,
בַּל־תִּמּוֹט:,no se moverá.,bal-timot:,,
נָכוֹן,Firme [está],najón,,
כִּסְאֲךָ,Tu trono,kisajá,,
מֵאָז,desde entonces;,meaz,,
מֵעוֹלָם,desde siempre,meolam,,
אָֽתָּה:,Tú [eres].,ata:,,
נָשְׂאוּ,Alzaron,nosú,,
נְהָרוֹת,"[los] ríos,",neharot,,
יְהֹוָה,"Adonai,",Adonai,,
נָשְׂאוּ,alzaron,nosú,,
נְהָרוֹת,[los] ríos,neharot,,
קוֹלָם,su voz;,kolam,,
יִשְׂאוּ,alzarán,yisú,,
נְהָרוֹת,[los] ríos,neharot,,
דָּכְיָם:,sus olas.,dojyam:,,
מִקֹּלוֹת,Más que [las] voces de,mikolot,,
מַֽיִם,aguas,máyim,,
רַבִּים,"abundantes,",rabim,,
אַדִּירִים,[más] que [los] poderosos,adirim,,
מִשְׁבְּרֵי־יָם,"rompientes del mar,",mishberéi-yam,,
אַדִּיר,poderoso,adir,,
בַּמָּרוֹם,en lo alto,bamarom,,
יְהֹוָה:,[es] Adonai.,Adonai:,,
עֵדֹתֶֽיךָ,Tus testimonios,edoteija,,
נֶאֶמְנוּ,[son] fieles,neemnú,,
מְאֹד,en gran manera;,meod,,
לְבֵיתְךָ,a Tu Casa,leveitjá,,
נָֽאֲוָה־קֹּֽדֶשׁ,"conviene [la] santidad,",náavo-kódesh,,
יְהֹוָה,"Adonai,",Adonai,,
לְאֹֽרֶךְ,por [la] duración de,leórej,,
יָמִים:,días.,yamim:,,
