original,translation,phonetics,format,notes
מִזְמוֹר צ״ט,SALMO 99,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְהֹוָה,Adonai,Adonai,,
מָלָךְ,reina;,maloj,,
יִרְגְּזוּ,tiemblen,yirgezú,,
עַמִּים,[los] pueblos.,amim,,
ישֵׁב,[Él] mora,yshev,,
כְּרוּבִים,[entre] querubines;,keruvim,,
תָּנוּט,tiemble,tanut,,
הָאָֽרֶץ:,la tierra.,haáretz:,,
יְהֹוָה,Adonai,Adonai,,
בְּצִיּוֹן,en Tzión,betzión,,
גָּדוֹל,[es] grande,gadol,,
וְרָם,y elevado,veram,,
הוּא,[es] Él,hu,,
עַל־כָּל,sobre todos,al-kol,,
הָעַמִּים:,los pueblos.,haamim:,,
יוֹדוּ,Alabarán,yodú,,
שִׁמְךָ,"Tu Nombre,",shimjá,,
גָּדוֹל,grande,gadol,,
וְנוֹרָא,y temible;,venorá,,
קָדוֹשׁ,santo,kadosh,,
הוּא:,[es] Él.,hu:,,
וְעֹז,Y [el] poder de,veoz,,
מֶֽלֶךְ,"[el] Rey,",mélej,,
מִשְׁפָּט,[el] derecho,mishpat,,
אָהֵב,[Él] ama.,ahev,,
אַתָּה,Tú,atá,,
כּוֹנַֽנְתָּ,estableciste,konáneta,,
מֵישָׁרִים,rectitud;,meisharim,,
מִשְׁפָּט,derecho,mishpat,,
וּצְדָקָה,y justicia,utzedaká,,
בְּיַעֲקֹב,en Yaakov,beyaakov,,
אַתָּה,Tú,atá,,
עָשִֽׂיתָ:,hiciste.,asita:,,
רוֹמְמוּ,Exalten,rommú,,
יְהֹוָה,"a Adonai,",Adonai,,
אֱלֹהֵֽינוּ,"nuestro Dios,",eloheinu,,
וְהִשְׁתַּחֲווּ,y póstrense,vehishtajavú,,
לַהֲדֹם,ante [el] estrado de,lahadom,,
רַגְלָיו,Sus pies;,raglayv,,
קָדוֹשׁ,santo,kadosh,,
הוּא:,[es] Él.,hu:,,
משֶׁה,Moshé,mshe,,
וְאַהֲרֹן,y Aharón,veaharón,,
בְּכֹהֲנָיו,"entre Sus sacerdotes,",bejohanayv,,
וּשְׁמוּאֵל,y Shemuel,ushemuel,,
בְּקֹרְאֵי,entre quienes invocan,bekoréi,,
שְׁמוֹ,"Su Nombre,",shemó,,
קֹרִאים,llamaban,koriym,,
אֶל־יְהֹוָה,a Adonai,el-Adonai,,
וְהוּא,y Él,vehú,,
יַעֲנֵם:,les respondía.,yaanem:,,
בְּעַמּוּד,En columna de,beamud,,
עָנָן,nube,anán,,
יְדַבֵּר,Él hablaba,yedaber,,
אֲלֵיהֶם,a ellos;,aleihem,,
שָׁמְרוּ,guardaron,shomrú,,
עֵדֹתָיו,Sus testimonios,edotayv,,
וְחֹק,y [el] estatuto,vejok,,
נָֽתַן־לָֽמוֹ:,[que] les dio.,natan-lamo:,,
יְהֹוָה,"Adonai,",Adonai,,
אֱלֹהֵֽינוּ,"Dios nuestro,",eloheinu,,
אַתָּה,Tú,atá,,
עֲנִיתָם,les respondiste;,anitam,,
אֵל,Dios,el,,
נֹשֵׂא,perdonador,nosé,,
הָיִֽיתָ,fuiste,hayita,,
לָהֶם,"para ellos,",lahem,,
וְנֹקֵם,y vengador,venokem,,
עַל־עֲלִילוֹתָם:,de sus acciones.,al-alilotam:,,
רוֹמְמוּ,Exalten,rommú,,
יְהֹוָה,"a Adonai,",Adonai,,
אֱלֹהֵֽינוּ,"nuestro Dios,",eloheinu,,
וְהִשְׁתַּחֲווּ,y póstrense,vehishtajavú,,
לְהַר,ante [el] monte de,lehar,,
קָדְשׁוֹ,"Su santidad,",kodshó,,
כִּי־קָדוֹשׁ,pues santo,ki-kadosh,,
יְהֹוָה,"[es] Adonai,",Adonai,,
אֱלֹהֵֽינוּ:,nuestro Dios.,eloheinu:,,
