original,translation,phonetics,format,notes
מִזְמוֹר צ״ז,SALMO 97,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְהֹוָה,Adonai,Adonai,,
מָלָךְ,reina;,maloj,,
תָּגֵל,regocíjese,tagel,,
הָאָֽרֶץ,la tierra;,haáretz,,
יִשְׂמְחוּ,alégrense,yismejú,,
אִיִּים,[las] islas,iyim,,
רַבִּים:,muchas.,rabim:,,
עָנָן,Nube,anán,,
וַעֲרָפֶל,y oscuridad densa,vaarafel,,
סְבִיבָיו,[hay] alrededor de Él;,sevivayv,,
צֶֽדֶק,justicia,tzédek,,
וּמִשְׁפָּט,y derecho,umishpat,,
מְכוֹן,[son el] fundamento de,mejón,,
כִּסְאוֹ:,Su trono.,kisó:,,
אֵשׁ,Fuego,esh,,
לְפָנָיו,ante Él,lefanayv,,
תֵּלֵךְ,irá,telej,,
וּתְלַהֵט,y abrasará,utelahet,,
סָבִיב,alrededor,saviv,,
צָרָיו:,a Sus adversarios.,tzarayv:,,
הֵאִֽירוּ,Iluminaron,heiru,,
בְרָקָיו,Sus relámpagos,verakayv,,
תֵּבֵל,[el] mundo;,tevel,,
רָאֲתָה,vio,raatá,,
וַתָּחֵל,y tembló,vatajel,,
הָאָֽרֶץ:,la tierra.,haáretz:,,
הָרִים,Montes,harim,,
כַּדּוֹנַג,como cera,kadonag,,
נָמַֽסּוּ,se derritieron,namasu,,
מִלִּפְנֵי,ante,milifnéi,,
יְהֹוָה,"Adonai,",Adonai,,
מִלִּפְנֵי,ante,milifnéi,,
אֲדוֹן,[el] Señor,adón,,
כָּל־הָאָֽרֶץ:,de toda [la] tierra.,kol-haáretz:,,
הִגִּֽידוּ,Anunciaron,higidu,,
הַשָּׁמַֽיִם,los cielos,hashamáyim,,
צִדְקוֹ,"Su justicia,",tzidkó,,
וְרָאוּ,y vieron,veraú,,
כָל־הָעַמִּים,todos los pueblos,jol-haamim,,
כְּבוֹדוֹ:,Su gloria.,kevodó:,,
יֵבֽשׁוּ,Sean avergonzados,yevshu,,
כָּל־עֹֽבְדֵי,todos los servidores de,kol-óvedei,,
פֶֽסֶל,"imágenes,",fésel,,
הַמִּתְהַלְלִים,quienes se glorían,hamithallim,,
בָּאֱלִילִים,en ídolos;,baelilim,,
הִשְׁתַּחֲווּ־לוֹ,"póstrense ante Él,",hishtajavú-lo,,
כָּל־אֱלֹהִים:,todos [los] dioses.,kol-elohim:,,
שָׁמְעָה,Oyó,shomá,,
וַתִּשְׂמַח,y se alegró,vatismaj,,
צִיּוֹן,"Tzión,",tzión,,
וַתָּגֵֽלְנָה,y se regocijaron,vatagélena,,
בְּנוֹת,las hijas de,benot,,
יְהוּדָה,"Yehudá,",yehudá,,
לְמַֽעַן,a causa de,lemaan,,
מִשְׁפָּטֶֽיךָ,"Tus juicios,",mishpateija,,
יְהֹוָה:,Adonai.,Adonai:,,
כִּי־אַתָּה,"Pues Tú,",ki-atá,,
יְהֹוָה,"Adonai,",Adonai,,
עֶלְיוֹן,[eres el] Altísimo,elyón,,
עַל־כָּל־הָאָֽרֶץ,sobre toda la tierra;,al-kol-haáretz,,
מְאֹד,muy,meod,,
נַעֲלֵֽיתָ,elevado [eres],naaleita,,
עַל־כָּל־אֱלֹהִים:,sobre todos [los] dioses.,al-kol-elohim:,,
אֹהֲבֵי,Amantes de,ohavéi,,
יְהֹוָה,"Adonai,",Adonai,,
שִׂנְאוּ,odien,sinú,,
רָע,[el] mal.,ra,,
שֹׁמֵר,Él guarda,shomer,,
נַפְשׁוֹת,[las] almas de,nafshot,,
חֲסִידָיו,de Sus piadosos;,jasidayv,,
מִיַּד,de mano de,miyad,,
רְשָׁעִים,malvados,reshaim,,
יַצִּילֵם:,los libra.,yatzilem:,,
אוֹר,Luz,or,,
זָרֻֽעַ,fue sembrada,zarua,,
לַצַּדִּיק,"para el justo,",latzadik,,
וּלְיִשְׁרֵי־לֵב,"y para los rectos de corazón,",uleyishréi-lev,,
שִׂמְחָה:,alegría.,simjá:,,
שִׂמְחוּ,"Alégrense,",simjú,,
צַדִּיקִים,"justos,",tzadikim,,
בַּיהֹוָה,"en Adonai,",ba-Adonai,,
וְהוֹדוּ,y agradezcan,vehodú,,
לְזֵֽכֶר,a [la] memoria de,lezéjer,,
קָדְשׁוֹ:,Su santidad.,kodshó:,,
