original,translation,phonetics,format,notes
מִזְמוֹר צ״ב,SALMO 92,,part,
"Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente del texto hebreo: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar inglesa: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
מִזְמוֹר,"[Un] salmo,",mizmor,,
שִׁיר,[un] canto,shir,,
לְיוֹם,para [el] día de,leyom,,
הַשַּׁבָּת:,el Shabat.,hashabat:,,
טוֹב,Bueno [es],tov,,
לְהֹדוֹת,agradecer,lehodot,,
לַיהֹוָה,a Adonai,la-Adonai,,
וּלְזַמֵּר,y entonar música,ulezamer,,
לְשִׁמְךָ,"a Tu Nombre,",leshimjá,,
עֶלְיוֹן:,Altísimo.,elyón:,,
לְהַגִּיד,Anunciar,lehagid,,
בַּבֹּֽקֶר,por la mañana,babóker,,
חַסְדֶּֽךָ,Tu bondad,jasdeja,,
וֶאֱמוּנָתְךָ,y Tu fidelidad,veemunotjá,,
בַּלֵּילוֹת:,"por las noches,",baleilot:,,
עֲלֵי־עָשׂוֹר,sobre [un instrumento de] diez [cuerdas],aléi-asor,,
וַעֲלֵי־נָֽבֶל,"y sobre [la] lira,",vaaléi-nável,,
עֲלֵי,sobre,aléi,,
הִגָּיוֹן,[la] resonancia,higayón,,
בְּכִנּוֹר:,del arpa.,bejinor:,,
כִּי,Pues,ki,,
שִׂמַּחְתַּֽנִי,"me alegraste,",simajtani,,
יְהֹוָה,"Adonai,",Adonai,,
בְּפָעֳלֶֽךָ,con Tu obra;,befaoleja,,
בְּמַעֲשֵׂי,por [las] obras de,bemaaséi,,
יָדֶֽיךָ,Tus manos,yadeija,,
אֲרַנֵּן:,cantaré jubilosamente.,aranén:,,
מַה־גָּדְלוּ,¡Cuán grandes [son],ma-godlú,,
מַעֲשֶֽׂיךָ,"Tus obras,",maaseija,,
יְהֹוָה,Adonai!,Adonai,,
מְאֹד,Muy,meod,,
עָמְקוּ,profundos [son],omkú,,
מַחְשְׁבֹתֶֽיךָ:,Tus pensamientos.,majshevoteija:,,
אִישׁ־בַּֽעַר,[Un] hombre necio,ish-báar,,
לֹא,no,lo,,
יֵדָע,"sabe,",yedá,,
וּכְסִיל,y [un] tonto,ujesil,,
לֹא־יָבִין,no entiende,lo-yavín,,
אֶת־זֹאת:,esto:,et-zot:,,
בִּפְרֹֽחַ,cuando florecen,bifroja,,
רְשָׁעִים,[los] malvados,reshaim,,
כְּמוֹ,como,kemó,,
עֵֽשֶׂב,hierba,ésev,,
וַיָּצִֽיצוּ,y brotan,vayatzitzu,,
כָּל־פֹּֽעֲלֵי,todos los obradores de,kol-póalei,,
אָֽוֶן,"iniquidad,",aven,,
לְהִשָּׁמְדָם,[es] para destruirlos,lehishomdam,,
עֲדֵי־עַד:,para siempre.,adéi-ad:,,
וְאַתָּה,Pero Tú,veatá,,
מָרוֹם,[estás] en lo alto,marom,,
לְעֹלָם,"por siempre,",leolam,,
יְהֹוָה:,Adonai.,Adonai:,,
כִּי,Porque,ki,,
הִנֵּה,he aquí,hiné,,
אֹיְבֶֽיךָ,"Tus enemigos,",oyveija,,
יְהֹוָה,Adonai;,Adonai,,
כִּי־הִנֵּה,"pues he aquí,",ki-hiné,,
אֹיְבֶֽיךָ,Tus enemigos,oyveija,,
יֹאבֵֽדוּ,perecerán;,yovedu,,
יִתְפָּרְדוּ,serán dispersados,yitpordú,,
כָּל־פֹּֽעֲלֵי,todos los obradores de,kol-póalei,,
אָֽוֶן:,iniquidad.,aven:,,
וַתָּֽרֶם,Y elevaste,vatárem,,
כִּרְאֵים,como [la de un] toro salvaje,kireim,,
קַרְנִי,mi fuerza;,karní,,
בַּלֹּתִי,fui empapado,balotí,,
בְּשֶֽׁמֶן,con aceite,beshemen,,
רַעֲנָן:,fresco.,raanán:,,
וַתַּבֵּט,Y contempló,vatabet,,
עֵינִי,mi ojo,einí,,
בְּשׁוּרָי,a quienes me acechan;,beshuray,,
בַּקָּמִים,contra quienes se alzan,bakamim,,
עָלַי,"sobre mí,",alay,,
מְרֵעִים,"malhechores,",mereim,,
תִּשְׁמַֽעְנָה,oirán,tishmáena,,
אָזְנָי:,mis oídos [su caída].,oznay:,,
צַדִּיק,[El] justo,tzadik,,
כַּתָּמָר,como [la] palmera,katamar,,
יִפְרָח,florecerá;,yifraj,,
כְּאֶֽרֶז,como [un] cedro,keérez,,
בַּלְּבָנוֹן,en el Líbano,balevanón,,
יִשְׂגֶּה:,crecerá.,yisgé:,,
שְׁתוּלִים,Plantados,shetulim,,
בְּבֵית,en [la] Casa de,beveit,,
יְהֹוָה,"Adonai,",Adonai,,
בְּחַצְרוֹת,en [los] atrios de,bejatzrot,,
