original,translation,phonetics,format,notes
תְּהִלִּים טז / TEHILIM 16,,,part,
טז א,,,verse,
מִכְתָּם לְדָוִד,Poema de David,mijtam le-David,,
שָׁמְרֵנִי אֵל,Cuídame Dios,shomreni El,,
כִּי חָסִיתִי בָךְ,porque me refugié en Ti,ki jasiti vaj,,
טז ב,,,verse,
אָמַרְתְּ לַיהֹוָה,Dijiste a Adonai,amart la-Adonai,,
אֲדֹנָי אָתָּה,Tú [eres] mi Señor,Adonai ata,,
טוֹבָתִי בַּל עָלֶיךָ,mi bien no [está] fuera de Ti,tovati bal aleja,,
טז ג,,,verse,
לִקְדוֹשִׁים אֲשֶׁר בָּאָרֶץ,En cuanto a los santos que [están] en la tierra,likdoshim asher ba-aretz,,
הֵמָּה,ellos [son],hema,,
וְאַדִּירֵי כָל חֶפְצִי בָם,y los nobles en quienes [está] todo mi deseo,ve-adirei jol jeftzi vam,,
טז ד,,,verse,
יִרְבּוּ עַצְּבוֹתָם,Se multiplicarán sus dolores,yirbu atzevotam,,
אַחֵר מָהָרוּ,[los que] corren tras otro,ajer maharu,,
בַּל אַסִּיךְ נִסְכֵּיהֶם מִדָּם,no derramaré sus libaciones de sangre,bal asij niskeihem midam,,
וּבַל אֶשָּׂא אֶת שְׁמוֹתָם,y no llevaré sus nombres,uval esa et shemotam,,
עַל שְׂפָתָי,sobre mis labios,al sefatai,,
טז ה,,,verse,
יְהֹוָה מְנָת חֶלְקִי,Adonai [es] la porción de mi parte,Adonai menat jelki,,
וְכוֹסִי,y mi copa,ve-josi,,
אַתָּה תּוֹמִיךְ גּוֹרָלִי,Tú sostienes mi destino,ata tomij gorali,,
טז ו,,,verse,
חֲבָלִים נָפְלוּ לִי,Los lotes cayeron para mí,javalim naflu li,,
בַּנְּעִמִים,en lugares agradables,ba-ne'imim,,
אַף נַחֲלָת שָׁפְרָה עָלָי,también una herencia hermosa [recayó] sobre mí,af najalat shafra alai,,
טז ז,,,verse,
אֲבָרֵךְ אֶת יְהֹוָה,Bendeciré a Adonai,avarej et Adonai,,
אֲשֶׁר יְעָצָנִי,que me aconsejó,asher ye'atzani,,
אַף לֵילוֹת,también por las noches,af leilot,,
יִסְּרוּנִי כִלְיוֹתָי,me instruyen mis entrañas,yiseruni jilyotai,,
טז ח,,,verse,
שִׁוִּיתִי יְהֹוָה,Puse a Adonai,shiviti Adonai,,
לְנֶגְדִּי תָמִיד,frente a mí siempre,le-negdi tamid,,
כִּי מִימִינִי,porque [está] a mi derecha,ki mimini,,
בַּל אֶמּוֹט,no vacilaré,bal emot,,
טז ט,,,verse,
לָכֵן שָׂמַח לִבִּי,Por eso se alegró mi corazón,lajen samaj libi,,
וַיָּגֶל כְּבוֹדִי,y se regocijó mi gloria,va-yagel kevodi,,
אַף בְּשָׂרִי,también mi carne,af besari,,
יִשְׁכֹּן לָבֶטַח,habitará segura,yishkon lavetaj,,
טז י,,,verse,
כִּי לֹא תַעֲזֹב נַפְשִׁי,Porque no abandonarás mi alma,ki lo ta'azov nafshi,,
לִשְׁאוֹל,en el abismo,lishol,,
לֹא תִתֵּן חֲסִידְךָ,no permitirás que Tu devoto,lo titen jasideja,,
לִרְאוֹת שָׁחַת,vea la fosa,lir'ot shajat,,
טז יא,,,verse,
תּוֹדִיעֵנִי אֹרַח חַיִּים,Me harás conocer el camino de la vida,todi'eni oraj jayim,,
שֹׂבַע שְׂמָחוֹת אֶת פָּנֶיךָ,plenitud de alegrías ante Tu rostro,sova semajot et paneja,,
נְעִמוֹת בִּימִינְךָ נֶצַח,delicias a Tu derecha para siempre,ne'imot bimineja netzaj,,
