original,translation,phonetics,format,notes
תְּהִלִּים צד / TEHILIM 94,,,part,
צד א,,,verse,
אֵל נְקָמוֹת יְהֹוָה,Dios de venganzas Adonai,El nekamot Adonai,,
אֵל נְקָמוֹת הוֹפִיעַ,Dios de venganzas manifiéstate,El nekamot hofia,,
צד ב,,,verse,
הִנָּשֵׂא שֹׁפֵט הָאָרֶץ,Álzate Juez de la tierra,hinase shofet ha-aretz,,
הָשֵׁב גְּמוּל עַל גֵּאִים,devuelve retribución sobre los soberbios,hashev gemul al ge'im,,
צד ג,,,verse,
עַד מָתַי רְשָׁעִים יְהֹוָה,¿Hasta cuándo los malvados Adonai?,ad matai resha'im Adonai,,
עַד מָתַי רְשָׁעִים יַעֲלֹזוּ,¿hasta cuándo los malvados se alegrarán?,ad matai resha'im ya'alozu,,
צד ד,,,verse,
יַבִּיעוּ יְדַבְּרוּ עָתָק,Profieren palabras arrogantes,yabi'u yedaberu atak,,
יִתְאַמְּרוּ כָּל פֹּעֲלֵי אָוֶן,se jactan todos los que obran mal,yit'ameru kol po'alei aven,,
צד ה,,,verse,
עַמְּךָ יְהֹוָה יְדַכְּאוּ,A Tu pueblo Adonai aplastan,ameja Adonai yedake'u,,
וְנַחֲלָתְךָ יְעַנּוּ,y a Tu heredad afligen,ve-najalatja ye'anu,,
צד ו,,,verse,
אַלְמָנָה וְגֵר יַהֲרֹגוּ,A la viuda y al extranjero matan,almanah ve-ger yahargu,,
וִיתוֹמִים יְרַצֵּחוּ,y a huérfanos asesinan,vi-yetomim yeratzeju,,
צד ז,,,verse,
וַיֹּאמְרוּ,Y dijeron,va-yomeru,,
לֹא יִרְאֶה יָהּ,no verá Yah,lo yir'eh Yah,,
וְלֹא יָבִין אֱלֹהֵי יַעֲקֹב,y no entenderá el Dios de Yaakov,ve-lo yavin Elohei Ya'akov,,
צד ח,,,verse,
בִּינוּ בֹּעֲרִים בָּעָם,Entiendan ignorantes del pueblo,binu bo'arim ba-am,,
וּכְסִילִים,y necios,u-jesilim,,
מָתַי תַּשְׂכִּילוּ,¿cuándo comprenderán?,matai taskilu,,
צד ט,,,verse,
הֲנֹטַע אֹזֶן,El que plantó el oído,ha-nota ozen,,
הֲלֹא יִשְׁמָע,¿acaso no oirá?,halo yishma,,
אִם יֹצֵר עַיִן,El que formó el ojo,im yotzer ayin,,
הֲלֹא יַבִּיט,¿acaso no mirará?,halo yabit,,
צד י,,,verse,
הֲיֹסֵר גּוֹיִם,El que corrige a las naciones,ha-yoser goyim,,
הֲלֹא יוֹכִיחַ,¿acaso no reprenderá?,halo yojiaj,,
הַמְלַמֵּד אָדָם דָּעַת,El que enseña conocimiento al hombre,ha-melamed adam da'at,,
צד יא,,,verse,
יְהֹוָה יֹדֵעַ,Adonai conoce,Adonai yode'a,,
מַחְשְׁבוֹת אָדָם,los pensamientos del hombre,majshevot adam,,
כִּי הֵמָּה הָבֶל,que ellos [son] vanidad,ki hemah havel,,
צד יב,,,verse,
אַשְׁרֵי הַגֶּבֶר,Dichoso el hombre,ashrei ha-gever,,
אֲשֶׁר תְּיַסְּרֶנּוּ יָּהּ,a quien Tú corriges Yah,asher teyaserenu Yah,,
וּמִתּוֹרָתְךָ תְלַמְּדֶנּוּ,y de Tu Torá le enseñas,u-mi-toratja telamedenu,,
צד יג,,,verse,
לְהַשְׁקִיט לוֹ מִימֵי רָע,para darle calma en días de mal,le-hashkit lo mimei ra,,
עַד יִכָּרֶה לָרָשָׁע שָׁחַת,hasta que se cave para el malvado una fosa,ad yikareh la-rasha shajat,,
צד יד,,,verse,
כִּי לֹא יִטֹּשׁ יְהֹוָה עַמּוֹ,Porque Adonai no abandonará a Su pueblo,ki lo yitosh Adonai amo,,
וְנַחֲלָתוֹ לֹא יַעֲזֹב,y no dejará Su heredad,ve-najalato lo ya'azov,,
צד טו,,,verse,
כִּי עַד צֶדֶק,Porque hacia la justicia,ki ad tzedek,,
יָשׁוּב מִשְׁפָּט,volverá el juicio,yashuv mishpat,,
וְאַחֲרָיו כָּל יִשְׁרֵי לֵב,y tras él [irán] todos los rectos de corazón,ve-ajarav kol yishrei lev,,
צד טז,,,verse,
מִי יָקוּם לִי,¿Quién se levantará por mí?,mi yakum li,,
עִם מְרֵעִים,contra los malhechores,im mere'im,,
מִי יִתְיַצֵּב לִי,¿quién se presentará por mí?,mi yityatzev li,,
עִם פֹּעֲלֵי אָוֶן,contra los que obran mal,im po'alei aven,,
צד יז,,,verse,
לוּלֵי יְהֹוָה,Si no [fuera] Adonai,lulei Adonai,,
עֶזְרָתָה לִּי,ayuda para mí,ezratah li,,
כִּמְעַט שָׁכְנָה דוּמָה נַפְשִׁי,pronto mi alma habría habitado en silencio,kim'at shajnah dumah nafshi,,
צד יח,,,verse,
אִם אָמַרְתִּי,Si dije,im amarti,,
מָטָה רַגְלִי,mi pie resbala,matah ragli,,
חַסְדְּךָ יְהֹוָה,Tu bondad Adonai,jasdeja Adonai,,
יִסְעָדֵנִי,me sostendrá,yis'adeni,,
צד יט,,,verse,
בְּרֹב שַׂרְעַפַּי בְּקִרְבִּי,En la multitud de mis inquietudes dentro de mí,be-rov sar'apai be-kirbi,,
תַּנְחוּמֶיךָ,Tus consuelos,tanjumeja,,
יְשַׁעַשְׁעוּ נַפְשִׁי,deleitaron mi alma,yesha'ash'u nafshi,,
צד כ,,,verse,
הַיְחָבְרְךָ,¿Se asociará contigo,ha-yejaverja,,
כִּסֵּא הַוּוֹת,un trono de destrucciones,kise havot,,
יֹצֵר עָמָל עֲלֵי חֹק,que forma sufrimiento contra la ley?,yotzer amal alei jok,,
צד כא,,,verse,
יָגוֹדּוּ עַל נֶפֶשׁ צַדִּיק,Se agrupan contra el alma del justo,yagodu al nefesh tzadik,,
וְדָם נָקִי יַרְשִׁיעוּ,y condenan sangre inocente,ve-dam naki yarshi'u,,
צד כב,,,verse,
וַיְהִי יְהֹוָה לִי לְמִשְׂגָּב,Pero Adonai fue para mí una fortaleza,va-yehi Adonai li le-misgav,,
וֵאלֹהַי לְצוּר מַחְסִי,y mi Dios [fue] la roca de mi refugio,ve-Elohai le-tzur majsi,,
צד כג,,,verse,
