original,translation,phonetics,format,notes
MIZMOR 96,SALMO 96,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
שִֽׁירוּ לַיהֹוָה,Canten a Adonai,shiru la-Adonai,,
שִׁיר חָדָשׁ,un canto nuevo;,shir jadash,,
שִֽׁירוּ לַיהֹוָה,"canten a Adonai,",shiru la-Adonai,,
כָּל־הָאָֽרֶץ:,toda la tierra.,kol ha-aretz,,
שִֽׁירוּ לַיהֹוָה,"Canten a Adonai,",shiru la-Adonai,,
בָּרְכוּ שְׁמוֹ,bendigan Su Nombre;,bareju shemo,,
בַּשְּׂרוּ מִיּוֹם־לְיוֹם,anuncien de dia en dia,basru mi-yom le-yom,,
יְשׁוּעָתוֹ:,Su salvacion.,yeshuato,,
סַפְּרוּ בַגּוֹיִם כְּבוֹדוֹ,"Relaten entre las naciones Su gloria,",saperu va-goyim kevodo,,
בְּכָל־הָעַמִּים,entre todos los pueblos,be-jol ha-amim,,
נִפְלְאוֹתָיו:,Sus maravillas.,nifleotav,,
כִּי גָדוֹל יְהֹוָה,Porque grande [es] Adonai,ki gadol Adonai,,
וּמְהֻלָּל מְאֹד,y muy alabado;,u-mehulal meod,,
נוֹרָא הוּא,temible [es] El,nora hu,,
עַל־כָּל־אֱלֹהִים:,sobre todos los poderes.,al kol elohim,,
כִּי,Porque,ki kol elohei ha-amim elilim,,
כָּל־אֱלֹהֵי הָעַמִּים,todos los dioses de los pueblos,ki kol elohei ha-amim elilim,,
אֱלִילִים,"[son] idolos,",ki kol elohei ha-amim elilim,,
וַיהֹוָה,pero Adonai,va-Adonai,,
שָׁמַֽיִם עָשָׂה:,hizo los cielos.,shamayim asah,,
הוֹד־וְהָדָר לְפָנָיו,Majestad y esplendor [estan] ante El;,hod ve-hadar lefanav,,
עֹז וְתִפְאֶֽרֶת,fuerza y belleza,oz ve-tiferet,,
בְּמִקְדָּשׁוֹ:,[estan] en Su santuario.,be-mikdasho,,
הָבוּ לַיהֹוָה,"Den a Adonai,",havu la-Adonai,,
מִשְׁפְּחוֹת עַמִּים,familias de pueblos;,mishpejot amim,,
הָבוּ לַיהֹוָה,den a Adonai,havu la-Adonai,,
כָּבוֹד וָעֹז:,gloria y fuerza.,kavod va-oz,,
הָבוּ לַיהֹוָה,Den a Adonai,havu la-Adonai,,
כְּבוֹד שְׁמוֹ,la gloria de Su Nombre;,kevod shemo,,
שְׂאוּ־מִנְחָה,traigan una ofrenda,seu minjah,,
וּבֹֽאוּ לְחַצְרוֹתָיו:,y entren en Sus atrios.,u-vou le-jatzrotav,,
הִשְׁתַּחֲווּ לַיהֹוָה,Postrense ante Adonai,hishtajavu la-Adonai,,
בְּהַדְרַת־קֹֽדֶשׁ,en esplendor de santidad;,be-hadrat kodesh,,
חִֽילוּ מִפָּנָיו,"tiemblen ante El,",jilu mi-panav,,
כָּל־הָאָֽרֶץ:,toda la tierra.,kol ha-aretz,,
אִמְרוּ בַגּוֹיִם,Digan entre las naciones:,imru va-goyim,,
יְהֹוָה מָלָךְ,Adonai reina;,Adonai malaj,,
אַף־תִּכּוֹן תֵּבֵל,"tambien el mundo sera afirmado,",af tikon tevel,,
בַּל־תִּמּוֹט,no vacilara;,bal timot,,
יָדִין עַמִּים בְּמֵישָׁרִים:,juzgara a los pueblos con rectitud.,yadin amim be-meisharim,,
יִשְׂמְחוּ הַשָּׁמַֽיִם,Alegrense los cielos,yismeju ha-shamayim,,
וְתָגֵל הָאָֽרֶץ,y regocijese la tierra;,ve-tagel ha-aretz,,
יִרְעַם הַיָּם,brame el mar,yiram ha-yam,,
וּמְלֹאוֹ:,y su plenitud.,u-melo-o,,
יַעֲלֹז שָׂדַי,Exulte el campo,yaaloz sadai,,
וְכָל־אֲשֶׁר־בּוֹ,y todo lo que [hay] en el;,ve-jol asher bo,,
אָז יְרַנְּנוּ,entonces cantaran,az yeranenu,,
כָּל־עֲצֵי־יָֽעַר:,todos los arboles del bosque.,kol atzei yaar,,
לִפְנֵי יְהֹוָה,"ante Adonai,",lifnei Adonai,,
כִּי בָא,porque viene;,ki va,,
כִּי בָא,porque viene,ki va,,
לִשְׁפֹּט הָאָֽרֶץ,a juzgar la tierra;,lishpot ha-aretz,,
יִשְׁפֹּט־תֵּבֵל בְּצֶֽדֶק,"juzgara al mundo con justicia,",yishpot tevel be-tzedek,,
וְעַמִּים בֶּאֱמוּנָתוֹ:,y a los pueblos con Su fidelidad.,ve-amim be-emunato,,
