original,translation,phonetics,format,notes
MIZMOR 93,SALMO 93,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְהֹוָה מָלָךְ,Adonai reina;,Adonai malaj,,
גֵּאוּת לָבֵשׁ,se vistio de majestad;,geut lavesh,,
לָבֵשׁ יְהֹוָה עֹז,"Adonai se vistio de fuerza,",lavesh Adonai oz,,
הִתְאַזָּר,se cinio;,hitazar,,
אַף־תִּכּוֹן תֵּבֵל,"tambien afirmo el mundo,",af tikon tevel,,
בַּל־תִּמּוֹט:,no vacilara.,bal timot,,
נָכוֹן כִּסְאֲךָ מֵאָז,Firme [esta] Tu trono desde entonces;,najon kisaja me-az,,
מֵעוֹלָם אָֽתָּה:,desde siempre [eres] Tu.,me-olam atah,,
נָשְׂאוּ נְהָרוֹת יְהֹוָה,"Alzaron los rios, Adonai,",naseu neharot Adonai,,
נָשְׂאוּ נְהָרוֹת קוֹלָם,alzaron los rios su voz;,naseu neharot kolam,,
יִשְׂאוּ נְהָרוֹת דָּכְיָם:,alzaran los rios su estruendo.,yiseu neharot dojyam,,
מִקֹּלוֹת מַֽיִם רַבִּים,"Mas que voces de muchas aguas,",mi-kolot mayim rabim,,
אַדִּירִים מִשְׁבְּרֵי־יָם,"[mas que] poderosas olas del mar,",adirim mishberei yam,,
אַדִּיר בַּמָּרוֹם יְהֹוָה:,poderoso en lo alto [es] Adonai.,adir ba-marom Adonai,,
עֵדֹתֶֽיךָ נֶאֶמְנוּ מְאֹד,Tus testimonios son muy fieles;,edoteja neemnu meod,,
לְבֵיתְךָ נָֽאֲוָה־קֹּֽדֶשׁ,"a Tu Casa le corresponde santidad,",le-veiteja naavah kodesh,,
יְהֹוָה,"Adonai,",Adonai,,
לְאֹֽרֶךְ יָמִים:,por largos dias.,le-orej yamim,,
