original,translation,phonetics,format,notes
MIZMOR 92,SALMO 92,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
מִזְמוֹר שִׁיר,"Salmo, canto",mizmor shir,,
לְיוֹם הַשַּׁבָּת:,para el dia de Shabat.,le-yom ha-Shabat,,
טוֹב לְהֹדוֹת לַיהֹוָה,"Bueno [es] agradecer a Adonai,",tov le-hodot la-Adonai,,
וּלְזַמֵּר לְשִׁמְךָ עֶלְיוֹן:,"y cantar salmos a Tu Nombre, Supremo.",u-lezamer le-shimja Elyon,,
לְהַגִּיד בַּבֹּֽקֶר חַסְדֶּֽךָ,"Declarar por la maniana Tu bondad,",le-hagid ba-boker jasdeja,,
וֶאֱמוּנָתְךָ בַּלֵּילוֹת:,y Tu fidelidad por las noches.,ve-emunateja ba-leilot,,
עֲלֵי־עָשׂוֹר וַעֲלֵי־נָֽבֶל,"Sobre decacordio y sobre arpa,",alei asor va-alei navel,,
עֲלֵי הִגָּיוֹן בְּכִנּוֹר:,con melodia sobre lira.,alei higayon be-jinor,,
כִּי שִׂמַּחְתַּֽנִי יְהֹוָה,"Porque me alegraste, Adonai,",ki simajtani Adonai,,
בְּפָעֳלֶֽךָ,con Tu obra;,be-faoleja,,
בְּמַעֲשֵׂי יָדֶֽיךָ,por las obras de Tus manos,be-maasei yadeja,,
אֲרַנֵּן:,cantare con alegria.,aranen,,
מַה־גָּדְלוּ מַעֲשֶֽׂיךָ יְהֹוָה,"Cuanto se engrandecieron Tus obras, Adonai;",mah gadlu maaseja Adonai,,
מְאֹד עָמְקוּ מַחְשְׁבֹתֶֽיךָ:,muy profundos [son] Tus pensamientos.,meod ameku majshevoteja,,
אִישׁ־בַּֽעַר לֹא יֵדָע,"El hombre torpe no sabe,",ish baar lo yeda,,
וּכְסִיל,y el necio,u-jesil,,
לֹא־יָבִין אֶת־זֹאת:,no entiende esto.,lo yavin et zot,,
בִּפְרֹֽחַ רְשָׁעִים,Cuando florecen los malvados,bi-froaj reshaim,,
כְּמוֹ עֵֽשֶׂב,"como hierba,",kemo esev,,
וַיָּצִֽיצוּ כָּל־פֹּֽעֲלֵי אָֽוֶן,"y brotan todos los que hacen maldad,",va-yatzitzu kol poalei aven,,
לְהִשָּׁמְדָם עֲדֵי־עַד:,[es] para ser destruidos para siempre.,le-hishamedam adei ad,,
וְאַתָּה מָרוֹם,Pero Tu [estas] elevado,ve-atah marom,,
לְעֹלָם יְהֹוָה:,"para siempre, Adonai.",le-olam Adonai,,
כִּי הִנֵּה,Porque he aqui,ki hineh,,
אֹיְבֶֽיךָ יְהֹוָה,"Tus enemigos, Adonai,",oyeveja Adonai,,
כִּי־הִנֵּה אֹיְבֶֽיךָ יֹאבֵֽדוּ,porque he aqui Tus enemigos pereceran;,ki hineh oyeveja yovedu,,
יִתְפָּרְדוּ כָּל־פֹּֽעֲלֵי אָֽוֶן:,se dispersaran todos los que hacen maldad.,yitparedu kol poalei aven,,
וַתָּֽרֶם כִּרְאֵים קַרְנִי,Elevaste mi fuerza como [la de] un toro salvaje;,va-tarem ki-reem karni,,
בַּלֹּתִי בְּשֶֽׁמֶן רַעֲנָן:,fui ungido con aceite fresco.,baloti be-shemen raanan,,
וַתַּבֵּט עֵינִי בְּשׁוּרָי,Mi ojo miro a mis acechadores;,va-tabet eini be-shurai,,
בַּקָּמִים עָלַי מְרֵעִים,"de los malvados que se levantan contra mi,",ba-kamim alai mereim,,
תִּשְׁמַֽעְנָה אָזְנָי:,mis oidos oiran.,tishmanah oznai,,
צַדִּיק כַּתָּמָר יִפְרָח,El justo florecera como palmera;,tzadik ka-tamar yifraj,,
כְּאֶֽרֶז בַּלְּבָנוֹן יִשְׂגֶּה:,como cedro en el Levanon crecera.,ke-erez ba-Levanon yisgeh,,
שְׁתוּלִים בְּבֵית יְהֹוָה,"Plantados en la Casa de Adonai,",shetulim be-veit Adonai,,
בְּחַצְרוֹת אֱלֹהֵֽינוּ יַפְרִֽיחוּ:,en los atrios de nuestro Dios floreceran.,be-jatzrot Eloheinu yafriju,,
עוֹד יְנוּבוּן בְּשֵׂיבָה,Aun daran fruto en la vejez;,od yenuvun be-seivah,,
דְּשֵׁנִים וְרַעֲנַנִּים יִהְיוּ:,vigorosos y frescos seran.,deshenim ve-raananim yihyu,,
לְהַגִּיד כִּי־יָשָׁר יְהֹוָה,"Para declarar que recto [es] Adonai,",le-hagid ki yashar Adonai,,
צוּרִי,"mi Roca,",tzuri,,
וְלֹא־עַוְלָֽתָה בּוֹ:,y no hay injusticia en El.,ve-lo avlatah bo,,
