original,translation,phonetics,format,notes
MIZMOR 99,SALMO 99,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְהֹוָה מָלָךְ,Adonai reina;,Adonai malaj,,
יִרְגְּזוּ עַמִּים,tiemblen los pueblos;,yirgezu amim,,
ישֵׁב כְּרוּבִים,[El] esta sentado sobre querubines;,yoshev keruvim,,
תָּנוּט הָאָֽרֶץ:,estremezcase la tierra.,tanut ha-aretz,,
יְהֹוָה בְּצִיּוֹן גָּדוֹל,"Adonai [es] grande en Sion,",Adonai be-Tziyon gadol,,
וְרָם הוּא,y elevado [esta] El,ve-ram hu,,
עַל־כָּל־הָעַמִּים:,sobre todos los pueblos.,al kol ha-amim,,
יוֹדוּ שִׁמְךָ,"Alaben Tu Nombre,",yodu shimja,,
גָּדוֹל וְנוֹרָא,grande y temible;,gadol ve-nora,,
קָדוֹשׁ הוּא:,santo [es] El.,kadosh hu,,
וְעֹז מֶֽלֶךְ,Y la fuerza del Rey,ve-oz melej,,
מִשְׁפָּט אָהֵב,ama el juicio;,mishpat ahev,,
אַתָּה כּוֹנַֽנְתָּ מֵישָׁרִים,Tu estableciste rectitud;,atah konanta meisharim,,
מִשְׁפָּט וּצְדָקָה,juicio y justicia,mishpat u-tzedakah,,
בְּיַעֲקֹב אַתָּה עָשִֽׂיתָ:,en Yaakov Tu hiciste.,be-Yaakov atah asita,,
רוֹמְמוּ יְהֹוָה אֱלֹהֵֽינוּ,"Exalten a Adonai nuestro Dios,",romemu Adonai Eloheinu,,
וְהִשְׁתַּחֲווּ לַהֲדֹם רַגְלָיו,y postrense ante el estrado de Sus pies;,ve-hishtajavu la-hadom raglav,,
קָדוֹשׁ הוּא:,santo [es] El.,kadosh hu,,
משֶׁה וְאַהֲרֹן בְּכֹהֲנָיו,"Moshe y Aharon [estaban] entre Sus sacerdotes,",Moshe ve-Aharon be-johanav,,
וּשְׁמוּאֵל בְּקֹרְאֵי שְׁמוֹ,y Shemuel entre los que invocaban Su Nombre;,u-Shemuel be-korei shemo,,
קֹרִאים אֶל־יְהֹוָה,"llamaban a Adonai,",korim el Adonai,,
וְהוּא יַעֲנֵם:,y El les respondia.,ve-hu yaanem,,
בְּעַמּוּד עָנָן,En columna de nube,be-amud anan,,
יְדַבֵּר אֲלֵיהֶם,hablaba a ellos;,yedaber aleihem,,
שָׁמְרוּ עֵדֹתָיו,guardaron Sus testimonios,shameru edotav,,
וְחֹק נָֽתַן־לָֽמוֹ:,y el decreto que les dio.,ve-jok natan lamo,,
יְהֹוָה אֱלֹהֵֽינוּ,"Adonai, nuestro Dios,",Adonai Eloheinu,,
אַתָּה עֲנִיתָם,Tu les respondiste;,atah anitam,,
אֵל נֹשֵׂא,Dios perdonador,El nose,,
הָיִֽיתָ לָהֶם,"fuiste para ellos,",hayita lahem,,
וְנֹקֵם,pero vengador,ve-nokem,,
עַל־עֲלִילוֹתָם:,por sus acciones.,al alilotam,,
רוֹמְמוּ יְהֹוָה אֱלֹהֵֽינוּ,"Exalten a Adonai nuestro Dios,",romemu Adonai Eloheinu,,
וְהִשְׁתַּחֲווּ לְהַר קָדְשׁוֹ,y postrense hacia Su monte santo;,ve-hishtajavu le-har kodsho,,
כִּי־קָדוֹשׁ,porque santo [es],ki kadosh,,
יְהֹוָה אֱלֹהֵֽינוּ:,Adonai nuestro Dios.,Adonai Eloheinu,,
