original,translation,phonetics,format,notes
MIZMOR 97,SALMO 97,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
יְהֹוָה מָלָךְ,Adonai reina;,Adonai malaj,,
תָּגֵל הָאָֽרֶץ,regocijese la tierra;,tagel ha-aretz,,
יִשְׂמְחוּ אִיִּים רַבִּים:,alegrense las muchas islas.,yismeju iyim rabim,,
עָנָן וַעֲרָפֶל סְבִיבָיו,Nube y oscuridad [estan] alrededor de El;,anan va-arafel sevivav,,
צֶֽדֶק וּמִשְׁפָּט,justicia y juicio,tzedek u-mishpat,,
מְכוֹן כִּסְאוֹ:,[son] la base de Su trono.,mejon kis-o,,
אֵשׁ לְפָנָיו תֵּלֵךְ,"Fuego va delante de El,",esh lefanav telej,,
וּתְלַהֵט סָבִיב צָרָיו:,y consume alrededor a Sus adversarios.,u-telahet saviv tzarav,,
הֵאִֽירוּ בְרָקָיו תֵּבֵל,Sus relampagos iluminaron el mundo;,heiru verakav tevel,,
רָאֲתָה,la tierra vio,raatah,,
וַתָּחֵל הָאָֽרֶץ:,y temblo.,va-tajel ha-aretz,,
הָרִים כַּדּוֹנַג נָמַֽסּוּ,Los montes se derritieron como cera,harim ka-donag namasu,,
מִלִּפְנֵי יְהֹוָה,"ante Adonai,",mi-lifnei Adonai,,
מִלִּפְנֵי אֲדוֹן כָּל־הָאָֽרֶץ:,ante el Senor de toda la tierra.,mi-lifnei adon kol ha-aretz,,
הִגִּֽידוּ הַשָּׁמַֽיִם צִדְקוֹ,"Los cielos proclamaron Su justicia,",higidu ha-shamayim tzidko,,
וְרָאוּ כָל־הָעַמִּים כְּבוֹדוֹ:,y todos los pueblos vieron Su gloria.,ve-rau jol ha-amim kevodo,,
יֵבֽשׁוּ כָּל־עֹֽבְדֵי פֶֽסֶל,"Avergonzados sean todos los que sirven imagenes,",yevoshu kol ovdei fesel,,
הַמִּתְהַלְלִים בָּאֱלִילִים,los que se glorifican en idolos;,ha-mithalelim ba-elilim,,
הִשְׁתַּחֲווּ־לוֹ כָּל־אֱלֹהִים:,postrense ante El todos los poderes.,hishtajavu lo kol elohim,,
שָׁמְעָה וַתִּשְׂמַח צִיּוֹן,"Sion oyo y se alegro,",shamah va-tismaj Tziyon,,
וַתָּגֵֽלְנָה בְּנוֹת יְהוּדָה,"y se regocijaron las hijas de Yehuda,",va-tagelnah benot Yehudah,,
לְמַֽעַן מִשְׁפָּטֶֽיךָ יְהֹוָה:,"por Tus juicios, Adonai.",lemaan mishpateja Adonai,,
כִּי־אַתָּה יְהֹוָה,"Porque Tu, Adonai,",ki atah Adonai,,
עֶלְיוֹן עַל־כָּל־הָאָֽרֶץ,[eres] Supremo sobre toda la tierra;,elyon al kol ha-aretz,,
מְאֹד נַעֲלֵֽיתָ,muy elevado estas,meod naaleita,,
עַל־כָּל־אֱלֹהִים:,sobre todos los poderes.,al kol elohim,,
אֹהֲבֵי יְהֹוָה,"Los que aman a Adonai,",ohavei Adonai,,
שִׂנְאוּ רָע,odien el mal;,sineu ra,,
שֹׁמֵר נַפְשׁוֹת חֲסִידָיו,"El guarda las almas de Sus piadosos,",shomer nafshot jasidav,,
מִיַּד רְשָׁעִים יַצִּילֵם:,de mano de malvados los rescata.,mi-yad reshaim yatzilem,,
אוֹר זָרֻֽעַ לַצַּדִּיק,"Luz [esta] sembrada para el justo,",or zarua la-tzadik,,
וּלְיִשְׁרֵי־לֵב שִׂמְחָה:,y alegria para los rectos de corazon.,u-le-yishrei lev simjah,,
שִׂמְחוּ צַדִּיקִים בַּיהֹוָה,"Alegrense, justos, en Adonai,",simju tzadikim ba-Adonai,,
וְהוֹדוּ לְזֵֽכֶר קָדְשׁוֹ:,y den gracias al recuerdo de Su santidad.,ve-hodu le-zejer kodsho,,
