original,translation,phonetics,format,notes
MIZMOR 29,SALMO 29,,part,
"Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, The Metsudah siddur, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
"Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY","Fuente auxiliar: Sefaria, Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981, https://www.nli.org.il/he/books/NNL_ALEPH002211687, licencia CC-BY",,license,
מִזְמוֹר לְדָוִד,Salmo de David.,mizmor le-David,,
הָבוּ לַיהֹוָה,"Den a Adonai,",havu la-Adonai,,
בְּנֵי אֵלִים,hijos de poderosos;,benei elim,,
הָבוּ לַיהֹוָה,den a Adonai,havu la-Adonai,,
כָּבוֹד וָעֹז:,gloria y fuerza.,kavod va-oz,,
הָבוּ לַיהֹוָה כְּבוֹד שְׁמוֹ,Den a Adonai la gloria de Su Nombre;,havu la-Adonai kevod shemo,,
הִשְׁתַּחֲווּ לַיהֹוָה,postrense ante Adonai,hishtajavu la-Adonai,,
בְּהַדְרַת־קֹֽדֶשׁ:,en esplendor de santidad.,be-hadrat kodesh,,
קוֹל יְהֹוָה עַל־הַמָּֽיִם,La voz de Adonai [esta] sobre las aguas;,kol Adonai al ha-mayim,,
אֵל־הַכָּבוֹד הִרְעִים,el Dios de gloria truena;,El ha-kavod hirim,,
יְהֹוָה עַל־מַֽיִם רַבִּים:,Adonai [esta] sobre muchas aguas.,Adonai al mayim rabim,,
קוֹל־יְהֹוָה בַּכֹּֽחַ,La voz de Adonai [esta] con fuerza;,kol Adonai ba-koaj,,
קוֹל יְהֹוָה בֶּהָדָר:,la voz de Adonai [esta] con esplendor.,kol Adonai be-hadar,,
קוֹל יְהֹוָה שֹׁבֵר אֲרָזִים,La voz de Adonai quiebra cedros;,kol Adonai shover arazim,,
וַיְשַׁבֵּר יְהֹוָה,y Adonai quiebra,va-yeshaber Adonai,,
אֶת־אַרְזֵי הַלְּבָנוֹן:,los cedros del Levanon.,et arzei ha-Levanon,,
וַיַּרְקִידֵם כְּמוֹ־עֵֽגֶל,"Los hace saltar como becerro,",va-yarkidem kemo egel,,
לְבָנוֹן וְשִׂרְיוֹן,"al Levanon y al Siryon,",Levanon ve-Siryon,,
כְּמוֹ בֶן־רְאֵמִים:,como cria de toros salvajes.,kemo ven re-emim,,
קוֹל־יְהֹוָה,La voz de Adonai,kol Adonai,,
חֹצֵב לַהֲבוֹת אֵשׁ:,corta llamas de fuego.,jotzev lahavot esh,,
קוֹל יְהֹוָה יָחִיל מִדְבָּר,La voz de Adonai hace temblar el desierto;,kol Adonai yajil midbar,,
יָחִיל יְהֹוָה,Adonai hace temblar,yajil Adonai,,
מִדְבַּר קָדֵשׁ:,el desierto de Kadesh.,midbar Kadesh,,
קוֹל יְהֹוָה יְחוֹלֵל אַיָּלוֹת,La voz de Adonai hace parir a las ciervas,kol Adonai yejolel ayalot,,
וַיֶּחֱשׂף יְעָרוֹת,y desnuda bosques;,va-yejesof yearot,,
וּבְהֵיכָלוֹ,"y en Su templo,",u-ve-heijalo,,
כֻּלּוֹ אֹמֵר כָּבוֹד:,todo dice: Gloria.,kulo omer kavod,,
יְהֹוָה לַמַּבּוּל יָשָׁב,"Adonai se sento sobre el diluvio,",Adonai la-mabul yashav,,
וַיֵּֽשֶׁב יְהֹוָה,y Adonai se sentara,va-yeshev Adonai,,
מֶֽלֶךְ לְעוֹלָם:,como Rey para siempre.,melej le-olam,,
יְהֹוָה עֹז לְעַמּוֹ יִתֵּן,Adonai dara fuerza a Su pueblo;,Adonai oz le-amo yiten,,
יְהֹוָה יְבָרֵךְ,Adonai bendecira,Adonai yevarej,,
אֶת־עַמּוֹ בַשָּׁלוֹם:,a Su pueblo con paz.,et amo va-shalom,,
